Price,Close,High,Low,Open,Volume,MA_5,MA_15,MA_19,MA_20,MA_25,MA_30,Normalised Close,Return Ratio,Percentage Change Open,Percentage Change High,Percentage Change Low,Sector,Sector Encoded
Ticker,SPARC.NS,SPARC.NS,SPARC.NS,SPARC.NS,SPARC.NS,,,,,,,,,,,,,
Date,,,,,,,,,,,,,,,,,,
2020-01-10,183.14999389648438,185.39999389648438,172.10000610351562,172.89999389648438,2938465,,,,,,,-0.7267465222495383,,-0.0559650578301043,0.012285012694413178,-0.06033299569321393,Healthcare,11
2020-01-13,185.9499969482422,188.8000030517578,182.25,184.1999969482422,1275141,,,,,,,-0.678192214987786,0.015288032460106784,-0.009411132179190651,0.015326733800963277,-0.01989780591000523,Healthcare,11
2020-01-14,192.39999389648438,194.5,188.39999389648438,191.0,1480490,,,,,,,-0.5663440748703289,0.03468672790587621,-0.007276475784285141,0.010914792984065613,-0.020790021449543783,Healthcare,11
2020-01-15,189.0500030517578,191.60000610351562,187.0,191.10000610351562,543696,,,,,,,-0.6244356132694733,-0.01741159537941012,0.010843708112485695,0.013488511031971129,-0.010843708112485806,Healthcare,11
2020-01-16,190.64999389648438,193.5,188.25,190.0,455328,188.23999633789063,,,,,,-0.5966904838339632,0.00846332091456523,-0.0034093570275030016,0.014948891658832508,-0.012588481370670701,Healthcare,11
2020-01-17,188.64999389648438,191.6999969482422,187.5,190.64999389648438,515593,189.33999633789062,,,,,,-0.6313720940781165,-0.010490427820763126,0.010601643597706323,0.01616752266332644,-0.006095912715032514,Healthcare,11
2020-01-20,193.3000030517578,197.0,187.5,189.5,1322092,190.80999755859375,,,,,,-0.5507371915006474,0.024648869895140205,-0.01965857729831655,0.019141215156895264,-0.030005188619706358,Healthcare,11
2020-01-21,186.14999389648438,194.0,184.0,191.85000610351562,475198,189.55999755859375,,,,,,-0.6747241068833082,-0.036989182836996426,0.03062053394533515,0.04217032694548961,-0.01154979300015424,Healthcare,11
2020-01-22,182.5,188.89999389648438,181.35000610351562,186.6999969482422,479831,188.2499969482422,,,,,,-0.7380179397390131,-0.019607810992000835,0.02301368190817632,0.035068459706763644,-0.006301336419092474,Healthcare,11
