date,close,high,low,open,volume,ma_20_unnamed: 6_level_1,ma_50_unnamed: 7_level_1,NORMALISED_CLOSE,RETURN RATIO,PERCENTAGE_CHANGE_OPEN,PERCENTAGE_CHANGE_CLOSE,PERCENTAGE_CHANGE_LOW,Sector_Name,Sector_Encoded,ma_5,ma_10,ma_15,ma_20,ma_25,ma_30
2020-01-10,775.8733520507812,789.5938733933792,770.1195850361433,781.8926667374157,43647.0,,,-1.803314259927209,,0.0077581149948302,0.0176839703365658,-0.0074158585282373,Information Technology,12.0,,,,,,
2020-01-13,781.1845092773438,788.7086660239245,771.9784605879706,773.6603525307631,104195.0,,,-1.7958441633693871,0.0068453919863649,-0.0096317280453257,0.0096317280453259,-0.011784730214235,Information Technology,12.0,,,,,,
2020-01-14,796.9852294921875,827.5687573879143,781.9812187286988,786.9382886998559,787576.0,,,-1.7736205874794302,0.0202266174344146,-0.0126061819222587,0.0383740209529523,-0.0188259583845096,Information Technology,12.0,,,,,,
2020-01-15,797.9147338867188,805.5273886961594,792.2494647066623,796.9409870440157,75668.0,,,-1.7723132476132062,0.0011662755596154,-0.0012203645343905,0.0095406871011876,-0.0071000934554252,Information Technology,12.0,,,,,,
2020-01-16,787.0711059570312,804.0668056570082,783.3975253287482,802.8275651523912,99901.0,,,-1.7875647162134465,-0.0135899582614136,0.0200191051051239,0.0215936013548754,-0.0046674062870294,Information Technology,12.0,787.8057861328125,,,,,
2020-01-17,794.9934692382812,800.6587378614385,781.1402023211637,790.4789971368319,85568.0,,,-1.7764219809953854,0.0100656258644088,-0.0056786279084466,0.0071261825944122,-0.0174256361255281,Information Technology,12.0,791.6298095703125,,,,,
2020-01-20,784.1941528320312,797.7376234664104,781.8483648276293,794.9934869669958,57759.0,,,-1.791611125822372,-0.013584157385088,0.0137712505199942,0.0172705580441634,-0.0029913357501205,Information Technology,12.0,792.23173828125,,,,,
2020-01-21,778.9714965820312,784.9908109772908,777.2011068170722,782.0696786707098,731989.0,,,-1.798956746524522,-0.0066599020550445,0.0039772727272726,0.0077272588556462,-0.0022727272727272,Information Technology,12.0,788.6289916992188,,,,,
2020-01-22,786.8497314453125,791.3642036131109,779.015724529654,784.2826447440898,289067.0,,,-1.7878760775434612,0.010113636888961,-0.0032624865951309,0.0057374006590891,-0.0099561664731951,Information Technology,12.0,786.4159912109375,,,,,
2020-01-23,806.5010375976562,809.1123733123414,779.9009421259817,786.9382522628428,178428.0,,,-1.760236685941354,0.0249746620822346,-0.0242563672243815,0.0032378578488425,-0.0329820970235932,Information Technology,12.0,790.3019775390625,789.0538818359375,,,,
