date,close,high,low,open,volume,ma_20_unnamed: 6_level_1,ma_50_unnamed: 7_level_1,NORMALISED_CLOSE,RETURN RATIO,PERCENTAGE_CHANGE_OPEN,PERCENTAGE_CHANGE_CLOSE,PERCENTAGE_CHANGE_LOW,Sector_Name,Sector_Encoded,ma_5,ma_10,ma_15,ma_20,ma_25,ma_30
2020-01-10,142.01168823242188,144.49286884862445,141.57382481566356,143.03335440082645,63220.0,,,-0.4256919892868738,,0.0071942400032063,0.0174716648121369,-0.0030832913981114,Consumer Services,6.0,,,,,,
2020-01-13,140.94137573242188,143.37390494691618,139.6278005714284,142.9360566514953,51900.0,,,-0.4347951205453013,-0.0075367916072392,0.0141525574637524,0.0172591561693884,-0.0093200109206207,Consumer Services,6.0,,,,,,
2020-01-14,143.47120666503906,145.31994822755695,140.60081404310583,141.03867747202554,631460.0,,,-0.4132786166819489,0.0179495263152538,-0.0169548249405382,0.0128858020050959,-0.0200067504041748,Consumer Services,6.0,,,,,,
2020-01-15,144.8334503173828,146.2443286166902,143.51987501370817,144.7361473217501,123725.0,,,-0.4016925773025668,0.0094948922784497,-0.0006718268150035,0.0097413843018698,-0.0090695574868658,Consumer Services,6.0,,,,,,
2020-01-16,143.276611328125,145.66048895406635,143.08200536583635,145.66048895406635,38987.0,,,-0.4149336724663172,-0.0107491673080093,0.0166382887188887,0.0166382887188887,-0.0013582535243171,Consumer Services,6.0,142.90686645507813,,,,,
2020-01-17,143.13067626953125,144.88209989294873,142.83876728650606,143.13067626953125,22475.0,,,-0.4161748669712727,-0.0010185546492269,0.0,0.0122365356544487,-0.0020394578620972,Consumer Services,6.0,143.1306640625,,,,,
2020-01-20,142.20628356933594,144.00637364686037,141.1359658762263,142.44954103080752,548245.0,,,-0.4240369335025055,-0.0064583828169342,0.0017105957301315,0.0126583019564445,-0.0075265147660495,Consumer Services,6.0,143.3836456298828,,,,,
2020-01-21,142.8874053955078,143.51985966210293,139.67645229518894,139.67645229518894,45459.0,,,-0.4182439138128145,0.0047896746126536,-0.0224719113026865,0.0044262422208907,-0.0224719113026865,Consumer Services,6.0,143.26688537597656,,,,,
2020-01-22,144.54151916503906,145.36859450108517,143.03335323874333,143.5198530049351,69578.0,,,-0.4041754854235214,0.0115763440798208,-0.0070683231088598,0.0057220606288339,-0.0104341363990625,Consumer Services,6.0,143.2084991455078,,,,,
2020-01-23,143.61717224121094,145.2713079631647,142.10900614421075,145.2713079631647,47887.0,,,-0.4120371626214716,-0.0063950270425253,0.0115176736607485,0.0115176736607485,-0.0105012936368581,Consumer Services,6.0,143.276611328125,143.09173889160155,,,,
