date,close,high,low,open,volume,ma_20_unnamed: 6_level_1,ma_50_unnamed: 7_level_1,NORMALISED_CLOSE,RETURN RATIO,PERCENTAGE_CHANGE_OPEN,PERCENTAGE_CHANGE_CLOSE,PERCENTAGE_CHANGE_LOW,Sector_Name,Sector_Encoded,ma_5,ma_10,ma_15,ma_20,ma_25,ma_30
2020-01-10,400.3596801757813,404.98032524818393,391.296147176024,394.5305813817251,979255.0,,,-0.6523370338420287,,-0.0145596549370227,0.0115412347976049,-0.0226384759718507,Healthcare,11.0,,,,,,
2020-01-13,396.9830627441406,405.1935693351159,394.2106700042384,404.4826853182766,178575.0,,,-0.6673110110480074,-0.0084339597587801,0.0188915429345899,0.0206822591730242,-0.0069836549719228,Healthcare,11.0,,,,,,
2020-01-14,398.4758911132813,412.3022110078385,374.9462109923156,397.3740512305739,1047255.0,,,-0.6606909013007539,0.0037604334019226,-0.0027651356262206,0.0346980085945189,-0.0590491938049935,Healthcare,11.0,,,,,,
2020-01-15,389.0569152832031,400.7151130250476,383.903143249202,398.8313324505376,289310.0,,,-0.7024603739278991,-0.0236375049034031,0.0251233605762268,0.0299652757318507,-0.0132468331278717,Healthcare,11.0,,,,,,
2020-01-16,390.0521240234375,395.6324088928792,386.00019209059,394.4594835103417,270309.0,,,-0.6980470125409031,0.0025580029582816,0.0112994115797697,0.014306510657807,-0.0103881806642951,Healthcare,11.0,394.9855346679688,,,,,
2020-01-17,404.76702880859375,408.7479041555426,389.2346278192445,390.9762372955405,423857.0,,,-0.6327921670329776,0.0377254830287042,-0.0340709359496144,0.0098349792933143,-0.0383736813620118,Healthcare,11.0,395.8670043945313,,,,,
2020-01-20,429.4696044921875,433.87696369281065,406.7929811167288,406.86406662292273,1400234.0,,,-0.523245908771978,0.0610291202727263,-0.0526359435750848,0.0102623309182368,-0.0528014628701651,Healthcare,11.0,402.3643127441407,,,,,
2020-01-21,442.5140380859375,452.8216112220438,429.4696581651815,430.0738994974946,1718995.0,,,-0.4653989494252062,0.030373356943791,-0.0281124156925095,0.0232932116248583,-0.0294778895087227,Healthcare,11.0,411.1719421386719,,,,,
2020-01-22,439.1374206542969,445.5352035598849,431.2112558542045,443.4381664687322,425918.0,,,-0.480372926631185,-0.007630531782101,0.0097936217961736,0.0145689768274712,-0.0180493950806621,Healthcare,11.0,421.18804321289065,,,,,
2020-01-23,452.43060302734375,454.9186248346479,439.5283948042713,441.3410897991242,425844.0,,,-0.4214228637713225,0.0302711218580292,-0.0245109706417214,0.0054992341160304,-0.0285175408929901,Healthcare,11.0,433.6637390136719,414.3246368408203,,,,
