date,close,high,low,open,volume,ma_20_unnamed: 6_level_1,ma_50_unnamed: 7_level_1,NORMALISED_CLOSE,RETURN RATIO,PERCENTAGE_CHANGE_OPEN,PERCENTAGE_CHANGE_CLOSE,PERCENTAGE_CHANGE_LOW,Sector_Name,Sector_Encoded,ma_5,ma_10,ma_15,ma_20,ma_25,ma_30
2020-03-16,673.3223266601562,746.0498068892153,648.2234083699673,653.164135567909,60887005.0,,,-1.1648866965917617,,-0.0299383969520761,0.1080128748883246,-0.0372762305606079,Financial Services,9.0,,,,,,
2020-03-17,722.2355346679688,739.0834025547005,680.8322161230677,682.8085070261826,15145135.0,,,-0.7729045661700694,0.0726445657170377,-0.0545902628010567,0.0233273870891399,-0.0573266151518496,Financial Services,9.0,,,,,,
2020-03-18,681.0298461914062,759.883839879956,671.9388961227179,743.184157895791,8949832.0,,,-1.103119945867834,-0.057052978562604,0.0912651803030024,0.1157863992738836,-0.0133488276901939,Financial Services,9.0,,,,,,
2020-03-19,683.8460083007812,708.5002479594608,642.2945065183396,652.1759604647756,6432046.0,,,-1.0805517016612929,0.0041351522625977,-0.0463116658598319,0.0360523266340917,-0.0607614891043799,Financial Services,9.0,,,,,,
2020-03-20,715.9113159179688,721.3461154176911,682.0673372151524,697.8776630325265,6492226.0,,,-0.8235857796877325,0.0468896611634296,-0.0251897860593512,0.007591442374051,-0.0472739820565907,Financial Services,9.0,695.2690063476563,,,,,
2020-03-23,575.4959716796875,689.725569013425,573.124398320611,651.1878939539356,6260086.0,,,-1.9488504683097845,-0.1961351093581128,0.1315246778414933,0.198488960748653,-0.0041209208678812,Financial Services,9.0,675.7037353515625,,,,,
2020-03-24,606.4248657226562,616.5533564347605,568.2330205226136,612.6501699028958,4019306.0,,,-1.7009915714528605,0.053743024391113,0.0102655819906412,0.0167019713151677,-0.0629786925945569,Financial Services,9.0,652.5416015625,,,,,
2020-03-25,617.5414428710938,641.2075358484802,584.3891787455049,593.8753498937073,3487615.0,,,-1.6119052127551103,0.0183313346414155,-0.0383230846295227,0.0383230846295226,-0.0536842741621619,Financial Services,9.0,639.8439208984375,,,,,
2020-03-26,643.2332763671875,685.575283697284,614.0829863341688,626.4841993536902,4360453.0,,,-1.4060152284664147,0.0416034159207946,-0.0260388845367137,0.0658268296833661,-0.0453183799781812,Financial Services,9.0,631.7213745117188,,,,,
2020-03-27,648.1245727539062,681.8203057694645,642.2944909422491,666.9981252092588,3114532.0,,,-1.36681721107439,0.0076042340569559,0.0291202544213962,0.0519895934085383,-0.008995310557174,Financial Services,9.0,618.1640258789063,656.7165161132813,,,,
2020-03-30,608.05517578125,635.0809854587873,599.8041867926801,632.412981132315,1791851.0,,,-1.687926543906243,-0.0618236040679646,0.0400585445552195,0.0444463113776041,-0.0135694741484089,Financial Services,9.0,624.6758666992188,650.1898010253906,,,,
2020-03-31,611.316162109375,630.436751045436,601.3358576064875,627.4723149119936,2334476.0,,,-1.6617935540608355,0.0053629776671749,0.0264284731927764,0.0312777415700651,-0.0163259293987091,Financial Services,9.0,625.6541259765625,639.0978637695313,,,,
2020-04-01,600.841796875,616.6027280271175,594.1224202344622,616.6027280271175,1500748.0,,,-1.745733335698741,-0.0171341212348005,0.0262314160467707,0.0262314160467707,-0.0111832709966009,Financial Services,9.0,622.3141967773438,631.0790588378907,,,,
2020-04-03,583.2528686523438,607.4130376626543,581.0295413258418,606.5236826074081,1693653.0,,,-1.886688015167931,-0.0292738093690167,0.0398983274764401,0.0414231464752754,-0.0038119440914866,Financial Services,9.0,610.318115234375,621.0197448730469,,,,
2020-04-07,579.1026000976562,603.7568399108379,575.1006232865919,597.8279675058216,3137346.0,,,-1.9199475615388968,-0.0071157276333283,0.032335146492189,0.0425731810028553,-0.0069106524653652,Financial Services,9.0,596.513720703125,607.3388732910156,636.6489176432292,,,
2020-04-08,572.6302490234375,591.3062208729175,569.1717401855047,577.8674074871284,3090942.0,,,-1.9718158823103376,-0.0111765187604533,0.0091457942933024,0.0326143648215055,-0.0060396893874029,Financial Services,9.0,589.4287353515625,607.0523010253906,629.936112467448,,,
2020-04-09,588.1441650390625,606.9683231955021,568.1836155269251,578.1144649185954,6139508.0,,,-1.8474899977759067,0.0270923794928444,-0.0170531320663547,0.0320060272215561,-0.0339381918560931,Financial Services,9.0,584.7943359375,605.2242309570313,620.9966878255208,,,
