date,close,high,low,open,volume,ma_20_unnamed: 6_level_1,ma_50_unnamed: 7_level_1,NORMALISED_CLOSE,RETURN RATIO,PERCENTAGE_CHANGE_OPEN,PERCENTAGE_CHANGE_CLOSE,PERCENTAGE_CHANGE_LOW,Sector_Name,Sector_Encoded,ma_5,ma_10,ma_15,ma_20,ma_25,ma_30
2020-01-10,568.5275268554688,576.2935317780874,563.5553969592733,574.8729232363173,1921690.0,,,-0.2864576286268547,,0.0111611066854493,0.0136598573609487,-0.0087456273642481,Chemicals,2.0,,,,,,
2020-01-13,560.6195678710938,573.6891565755108,558.772764968306,572.0317797302657,2174995.0,,,-0.3501724744629738,-0.0139095445881292,0.0203564279828991,0.0233127586931145,-0.0032942176988235,Chemicals,2.0,,,,,,
2020-01-14,552.6641235351562,563.4134306596628,548.5443814481177,561.8033959136227,2911749.0,,,-0.4142699123004242,-0.0141904506939485,0.0165367571175172,0.0194499817642366,-0.0074543324084188,Chemicals,2.0,,,,,,
2020-01-15,554.7950439453125,558.299223661553,543.4301742524565,553.0903250523273,3419279.0,,,-0.3971009732998035,0.0038557241539864,-0.0030727002910163,0.006316169826106,-0.0204848075282667,Chemicals,2.0,,,,,,
2020-01-16,556.9732666015625,560.4774461134944,551.2908320864449,556.0261941823762,1705322.0,,,-0.3795509175883449,0.0039261754048125,-0.0017003911605397,0.0062914680507253,-0.0102023469632387,Chemicals,2.0,558.7159057617188,,,,,
2020-01-17,558.0624389648438,565.7337026577483,554.8897693917237,558.725401238176,1813763.0,,,-0.3707753979691178,0.0019555200017533,0.0011879715011138,0.013746246221362,-0.0056851516095673,Chemicals,2.0,556.6228881835938,,,,,
2020-01-20,553.6585693359375,559.5777725567062,549.8229372098232,558.7727840405693,2425877.0,,,-0.4062576096298684,-0.0078913564530073,0.0092371273342084,0.0106910712641334,-0.0069277932981599,Chemicals,2.0,555.2306884765625,,,,,
2020-01-21,547.123779296875,551.9538257880286,541.9148806945768,551.9538257880286,4789489.0,,,-0.4589087602912398,-0.0118029240419783,0.0088280690292072,0.0088280690292072,-0.0095205121754939,Chemicals,2.0,554.1226196289062,,,,,
2020-01-22,533.1544189453125,552.00112501557,524.1098890895736,552.00112501557,7453773.0,,,-0.5714606390993648,-0.0255323582709472,0.0353494323605909,0.0353494323605909,-0.0169641843607539,Chemicals,2.0,549.7944946289062,,,,,
2020-01-23,513.5027465820312,534.6697948871464,511.70328562071086,530.3606263589244,4533870.0,,,-0.7297952077943167,-0.0368592506504142,0.0328291910590592,0.0412209057225241,-0.0035042869260153,Chemicals,2.0,541.100390625,549.9081481933594,,,,
2020-01-24,514.5444946289062,534.6224438508567,512.3662393681373,512.3662393681373,8132638.0,,,-0.7214017884129231,0.0020287097855056,-0.0042333661782543,0.0390208221670524,-0.0042333661782543,Chemicals,2.0,532.3968017578125,544.5098449707032,,,,
2020-01-27,508.8146667480469,520.9845244408888,506.6837537649233,516.5333302310244,4285510.0,,,-0.7675673161828304,-0.0111357286700575,0.0151698918828524,0.0239180559998835,-0.0041879944160074,Chemicals,2.0,523.4280212402343,539.3293548583985,,,,
2020-01-28,508.5305786132813,518.995717934037,504.9790568208495,509.7617612737143,4042406.0,,,-0.7698562293835977,-0.0005583332268727,0.0024210592483746,0.0205791741163201,-0.0069838903338251,Chemicals,2.0,515.7093811035156,534.9160003662109,,,,
