date,close,high,low,open,volume,ma_20_unnamed: 6_level_1,ma_50_unnamed: 7_level_1,NORMALISED_CLOSE,RETURN RATIO,PERCENTAGE_CHANGE_OPEN,PERCENTAGE_CHANGE_CLOSE,PERCENTAGE_CHANGE_LOW,Sector_Name,Sector_Encoded,ma_5,ma_10,ma_15,ma_20,ma_25,ma_30
2020-01-10,48.4735107421875,49.912857553871454,48.102064803907965,49.494981758899726,4962166.0,,,1.3162552805893568,,0.021072767395476,0.0296934715403491,-0.0076628643684406,Financial Services,9.0,,,,,,
2020-01-13,48.79851913452149,49.21639489398227,48.5199364756712,48.5199364756712,2490710.0,,,1.3430690653223714,0.006704865964064,-0.0057088342800388,0.0085632877159416,-0.0057088342800388,Financial Services,9.0,,,,,,
2020-01-14,48.79851913452149,49.680700506189645,48.56636632841779,49.077101793371774,2848871.0,,,1.3430690653223714,0.0,0.0057088342800388,0.0180780357132617,-0.0047573739986601,Financial Services,9.0,,,,,,
2020-01-15,48.00920104980469,49.1235352284838,47.91633780186519,49.1235352284838,4121422.0,,,1.2779488847095508,-0.0161750417577407,0.0232108461359958,0.0232108461359958,-0.001934280219393,Financial Services,9.0,,,,,,
2020-01-16,47.82347869873047,49.169965700664015,47.54489603614405,48.24135446379547,3698950.0,,,1.2626264522454191,-0.0038684741052355,0.0087378788920282,0.0281553546201833,-0.0058252279040882,Financial Services,9.0,48.380645751953125,,,,,
2020-01-17,46.80200958251953,48.19492649220915,46.70914632978436,48.00920352910969,4884518.0,,,1.1783533884121726,-0.0213591554609776,0.0257936348750513,0.0297619038608518,-0.0019841723371181,Financial Services,9.0,48.04634552001953,,,,,
2020-01-20,45.54838180541992,47.17345151794417,45.13050602801094,47.127021663203365,4565526.0,,,1.074926811919546,-0.0267857681386364,0.0346585278161428,0.0356778802695221,-0.0091743276236271,Financial Services,9.0,47.39631805419922,,,,,
2020-01-21,46.38413238525391,46.98772756893868,44.89835226818284,45.734103805433485,4427125.0,,,1.143877758008138,0.0183486338417962,-0.014014029074026,0.0130129669920626,-0.0320320773649613,Financial Services,9.0,46.91344070434571,,,,,
2020-01-22,47.68418502807617,49.123535261968605,46.1984084837384,47.17344956235823,7374048.0,,,1.251134470537582,0.0280279607695231,-0.0107107936398037,0.0301850651960382,-0.0311586859136411,Financial Services,9.0,46.8484375,,,,,
2020-01-23,49.773563385009766,50.33073228060349,48.28778674816834,48.28778674816834,14228890.0,,,1.4235119931188007,0.043817008840633,-0.0298507186505537,0.0111940728712529,-0.0298507186505537,Financial Services,9.0,47.23845443725586,47.80955009460449,,,,
