date,close,high,low,open,volume,ma_20_unnamed: 6_level_1,ma_50_unnamed: 7_level_1,NORMALISED_CLOSE,RETURN RATIO,PERCENTAGE_CHANGE_OPEN,PERCENTAGE_CHANGE_CLOSE,PERCENTAGE_CHANGE_LOW,Sector_Name,Sector_Encoded,ma_5,ma_10,ma_15,ma_20,ma_25,ma_30
2020-01-10,138.59010314941406,142.51412131170702,137.43827390919608,137.81570975993552,2522125.0,,,-1.0193931788300603,,-0.0055876528834362,0.0283138411266097,-0.0083110497361863,Capital Goods,1.0,,,,,,
2020-01-13,138.03695678710938,141.02390401984513,137.37970348094035,139.7809703076123,916575.0,,,-1.0241126947861594,-0.0039912399928611,0.0126343956074943,0.0216387502467361,-0.0047614299928583,Capital Goods,1.0,,,,,,
2020-01-14,138.5250244140625,141.212622668137,137.6985798086232,139.2603744284853,1422430.0,,,-1.0199484389760638,0.0035357750439678,0.0053084272501178,0.0194015360433437,-0.0059660311119598,Capital Goods,1.0,,,,,,
2020-01-15,138.94151306152344,140.29507312434393,137.39273610522056,138.86993022403033,1135935.0,,,-1.0163949042315954,0.0030065950121475,-0.0005152012232759,0.0097419412887862,-0.0111469705646366,Capital Goods,1.0,,,,,,
2020-01-16,147.63551330566406,148.63115909400136,139.13022380502315,139.74192983020248,6552425.0,,,-0.9422165751839412,0.0625730931855543,-0.0534666984841156,0.0067439450444142,-0.057610051336575,Capital Goods,1.0,140.3458221435547,,,,,
2020-01-17,147.3231658935547,152.11918610739522,146.46418179285342,149.3860404347662,4816805.0,,,-0.9448815635048524,-0.0021156658389007,0.0140023772140627,0.0325544199702156,-0.0058306111974399,Capital Goods,1.0,142.09243469238282,,,,,
2020-01-20,145.71580505371094,148.793846948026,145.1171167948147,147.74614001254568,1429650.0,,,-0.9585957730663944,-0.0109104418853251,0.0139335260034858,0.0211235966694243,-0.0041086020742604,Capital Goods,1.0,143.62820434570312,,,,,
2020-01-21,142.7613983154297,146.41210263605373,141.21261165527184,145.4685081167592,1587490.0,,,-0.983803151605466,-0.0202751289552444,0.0189624774853227,0.0255720689465219,-0.0108487775997809,Capital Goods,1.0,144.47547912597656,,,,,
2020-01-22,146.5357666015625,149.54223602234117,143.95880416049425,145.1171374678839,2781045.0,,,-0.9515997556066584,0.0264382972615145,-0.0096811117625358,0.0205169665434201,-0.017585893879923,Capital Goods,1.0,145.99432983398438,,,,,
2020-01-23,147.82424926757812,148.63117224055125,145.76787859711035,147.1995254188308,1910115.0,,,-0.940606255665556,0.0087929568043211,-0.0042261256312319,0.0054586644408558,-0.0139109157033194,Capital Goods,1.0,146.03207702636718,143.18894958496094,,,,
2020-01-24,146.0802459716797,148.2147035518021,145.53361877108355,147.98043333302527,1130295.0,,,-0.9554863162487766,-0.0117978160182745,0.0130078324328257,0.0146115415258556,-0.0037419652257575,Capital Goods,1.0,145.7834930419922,143.9379638671875,,,,
2020-01-27,142.23431396484375,145.62471308431904,141.86338200712586,144.97396362557075,1060310.0,,,-0.9883003031232592,-0.0263275296482013,0.019261524060953,0.0238367172095568,-0.0026078936044193,Capital Goods,1.0,145.08719482421876,144.35769958496093,,,,
