date,close,high,low,open,volume,ma_20_unnamed: 6_level_1,ma_50_unnamed: 7_level_1,NORMALISED_CLOSE,RETURN RATIO,PERCENTAGE_CHANGE_OPEN,PERCENTAGE_CHANGE_CLOSE,PERCENTAGE_CHANGE_LOW,Sector_Name,Sector_Encoded,ma_5,ma_10,ma_15,ma_20,ma_25,ma_30
2020-01-10,17.75,18.0,17.5,18.0,751060.0,,,-0.7260389348221559,,0.0140845070422535,0.0140845070422535,-0.0140845070422535,Financial Services,9.0,,,,,,
2020-01-13,17.899999618530273,17.950000762939453,17.75,17.850000381469727,285366.0,,,-0.7172905407798541,0.0084506827340999,-0.002793253526597,0.0027933600823888,-0.0083798671355831,Financial Services,9.0,,,,,,
2020-01-14,17.950000762939453,18.0,17.799999237060547,17.850000381469727,288740.0,,,-0.7143743352711763,0.0027933600823889,-0.0055710516556741,0.0027854726983509,-0.0083566306129974,Financial Services,9.0,,,,,,
2020-01-15,18.0,18.0,17.850000381469727,17.950000762939453,269592.0,,,-0.7114582410043644,0.0027854726983509,-0.0027777353922525,0.0,-0.0083333121405707,Financial Services,9.0,,,,,,
2020-01-16,18.0,18.39999961853028,17.899999618530273,18.100000381469727,729089.0,,,-0.7114582410043644,0.0,0.0055555767483181,0.0222222010294597,-0.0055555767483181,Financial Services,9.0,17.920000076293945,,,,,
2020-01-17,17.850000381469727,18.14999961853028,17.799999237060547,18.100000381469727,631888.0,,,-0.7202066350466662,-0.0083333121405707,0.0140056019415846,0.0168066795881964,-0.0028011845008746,Financial Services,9.0,17.940000152587892,,,,,
2020-01-20,18.049999237060547,18.25,17.600000381469727,18.049999237060547,759288.0,,,-0.7085421467375523,0.01120441744071,0.0,0.0110803751464325,-0.0249306855740401,Financial Services,9.0,17.970000076293946,,,,,
2020-01-21,18.100000381469727,18.200000762939453,17.899999618530273,17.950000762939453,377087.0,,,-0.7056259412288746,0.0027701466217525,-0.0082872715673442,0.0055248828376879,-0.0110497656753758,Financial Services,9.0,18.0,,,,,
2020-01-22,18.549999237060547,18.600000381469727,18.049999237060547,18.14999961853028,992261.0,,,-0.6793807591019693,0.0248618147020326,-0.0215633226405274,0.0026954795938365,-0.0269541790061674,Financial Services,9.0,18.10999984741211,,,,,
2020-01-23,18.950000762939453,19.5,18.549999237060547,18.549999237060547,737194.0,,,-0.6560515600000104,0.0215634254625603,-0.0211082590910069,0.0290237052726762,-0.0211082590910069,Financial Services,9.0,18.3,18.11000003814697,,,,
2020-01-24,19.25,19.450000762939453,19.0,19.049999237060547,671108.0,,,-0.6385547719154069,0.0158310936666164,-0.0103896500228287,0.0103896500228286,-0.0129870129870129,Financial Services,9.0,18.57999992370605,18.260000038146973,,,,
2020-01-27,20.049999237060547,22.39999961853028,19.100000381469727,19.14999961853028,1530423.0,,,-0.5918965961952203,0.0415584019252232,-0.044887763230769,0.1172070060295049,-0.0473814908598517,Financial Services,9.0,18.979999923706053,18.475,,,,
2020-01-28,19.39999961853028,20.5,18.64999961853028,20.350000381469727,4557901.0,,,-0.6298063778731051,-0.0324189348261325,0.0489691124546229,0.0567010517061576,-0.0386597945746155,Financial Services,9.0,19.239999771118164,18.61999988555908,,,,
2020-01-29,19.100000381469727,20.0,19.0,20.0,1266776.0,,,-0.6473031659577086,-0.0154638785030695,0.0471203979348306,0.0471203979348306,-0.0052356219619107,Financial Services,9.0,19.35,18.729999923706053,,,,
2020-01-30,18.39999961853028,19.14999961853028,18.25,19.14999961853028,681107.0,,,-0.688129153144271,-0.0366492538721922,0.0407608704102737,0.0407608704102737,-0.0081521533500039,Financial Services,9.0,19.239999771118168,18.76999988555908,18.48666661580404,,,
2020-01-31,18.0,19.0,17.200000762939453,18.549999237060547,905583.0,,,-0.7114582410043644,-0.0217391101534285,0.0305555131700303,0.0555555555555555,-0.0444444020589193,Financial Services,9.0,18.989999771118168,18.78499984741211,18.503333282470702,,,
2020-02-03,17.450000762939453,17.899999618530273,17.299999237060547,17.75,625107.0,,,-0.7435357229067594,-0.0305555131700303,0.0171919326042488,0.0257878989063733,-0.0085960756057662,Financial Services,9.0,18.47000007629395,18.725,18.47333335876465,,,
2020-02-04,17.700000762939453,17.850000381469727,17.5,17.5,396115.0,,,-0.7289550290889679,0.014326646938088,-0.0112994776451206,0.0084745543539379,-0.0112994776451206,Financial Services,9.0,18.13000030517578,18.68500003814697,18.456666692097983,,,
2020-02-05,17.850000381469727,18.100000381469727,17.600000381469727,17.600000381469727,570216.0,,,-0.7202066350466662,0.0084745543539379,-0.0140056019415847,0.0140056019415846,-0.0140056019415847,Financial Services,9.0,17.88000030517578,18.61500015258789,18.446666717529297,,,
2020-02-06,18.100000381469727,18.299999237060547,17.799999237060547,17.799999237060547,570181.0,18.320000076293944,,-0.7056259412288746,0.0140056019415846,-0.0165746485130636,0.0110496602970004,-0.0165746485130636,Financial Services,9.0,17.820000457763673,18.53000011444092,18.45333340962728,18.320000076293944,,
