,Close,High,Low,Open,MA_5,MA_15,MA_10,MA_20,MA_25,MA_30,Return_Ratio,Percentage_Change_Open,Percentage_Change_High,Percentage_Change_Low,Sector_Encoded
0,83.05000305175781,86.0,82.19999694824219,85.1500015258789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0252859530036664,0.0355207325688322,-0.0102348714302381,1.0
1,82.25,85.55000305175781,81.44999694824219,83.05000305175781,0.0,0.0,0.0,0.0,0.0,0.0,-0.0096327877466692,0.0097264808724353,0.040121617650551,-0.0097264808724354,1.0
2,84.25,87.9000015258789,82.0,82.44999694824219,0.0,0.0,0.0,0.0,0.0,0.0,0.0243161094224924,-0.0213650213858493,0.0433234602478207,-0.0267062314540059,1.0
3,84.5,86.9000015258789,83.94999694824219,84.1500015258789,0.0,0.0,0.0,0.0,0.0,0.0,0.0029673590504451,-0.0041419937765809,0.0284023849216439,-0.006508911855122,1.0
4,85.55000305175781,89.69999694824219,84.0,85.80000305175781,83.92000122070313,0.0,0.0,0.0,0.0,0.0,0.0124260716184356,0.0029222675754756,0.0485095704084734,-0.018118094640161,1.0
5,85.44999694824219,87.9000015258789,84.4000015258789,86.30000305175781,84.4,0.0,0.0,0.0,0.0,0.0,-0.0011689783746135,0.0099474094075213,0.0286717924533186,-0.012287834521507,1.0
6,82.3499984741211,87.0,81.55000305175781,87.0,84.41999969482421,0.0,0.0,0.0,0.0,0.0,-0.0362785088921511,0.0564663219434082,0.0564663219434082,-0.0097145772578816,1.0
7,81.25,84.4000015258789,81.0,84.4000015258789,83.81999969482422,0.0,0.0,0.0,0.0,0.0,-0.0133576016333111,0.0387692495492788,0.0387692495492788,-0.003076923076923,1.0
8,79.9000015258789,82.9000015258789,79.19999694824219,82.80000305175781,82.9,0.0,0.0,0.0,0.0,0.0,-0.0166153658353365,0.0362953876157263,0.0375469329500366,-0.0087610083137481,1.0
9,82.3499984741211,86.0999984741211,78.69999694824219,78.69999694824219,82.25999908447265,83.09000015258789,0.0,0.0,0.0,0.0,0.0306632903811479,-0.0443230308865875,0.0455373414630779,-0.0443230308865875,1.0
10,85.94999694824219,88.4000015258789,81.5999984741211,82.94999694824219,82.35999908447266,83.37999954223633,0.0,0.0,0.0,0.0,0.0437158292753631,-0.0349040152009144,0.0285049990067141,-0.0506108042882258,1.0
11,85.5,88.0,84.5,87.0,82.98999938964843,83.70499954223632,0.0,0.0,0.0,0.0,-0.0052355667739368,0.0175438596491228,0.0292397660818712,-0.0116959064327485,1.0
12,84.30000305175781,87.9000015258789,83.94999694824219,86.25,83.6,83.7099998474121,0.0,0.0,0.0,0.0,-0.0140350520262244,0.0231316355593125,0.042704606687983,-0.0041519109234282,1.0
13,83.5999984741211,86.69999694824219,82.5,85.0,84.33999938964844,83.61999969482422,0.0,0.0,0.0,0.0,-0.0083037313439589,0.0167464300410518,0.037081322137592,-0.0131578767248614,1.0
14,83.19999694824219,85.4000015258789,82.19999694824219,84.30000305175781,84.50999908447265,83.38499908447265,83.5633331298828,0.0,0.0,0.0,-0.0047847073346864,0.0132212276906684,0.02644236368188,-0.0120192312100935,1.0
15,83.0999984741211,84.69999694824219,82.3499984741211,83.0,83.93999938964843,83.14999923706054,83.56666615804036,0.0,0.0,0.0,-0.0012019047811179,-0.0012033510945519,0.0192538929422407,-0.0090252709238444,1.0
16,75.69999694824219,79.55000305175781,75.0999984741211,78.1500015258789,81.97999877929688,82.48499908447266,83.12999928792318,0.0,0.0,0.0,-0.0890493581438922,0.0323646588692974,0.050858735253952,-0.0079260039406782,1.0
17,77.30000305175781,78.44999694824219,75.44999694824219,76.30000305175781,80.57999877929687,82.08999938964844,82.66666615804037,0.0,0.0,0.0,0.0211361448879527,-0.012936610097291,0.0148770226530827,-0.0239328076387903,1.0
18,78.80000305175781,80.0,77.4000015258789,77.4000015258789,79.61999969482422,81.97999954223633,82.28666636149089,0.0,0.0,0.0,0.0194049151459365,-0.0177665161378147,0.0152283870782847,-0.0177665161378147,1.0
19,94.5500030517578,94.5500030517578,89.0,91.5,81.89000091552734,83.2,82.88666636149088,83.14500007629394,0.0,0.0,0.1998730887060373,-0.0322580957516014,0.0,-0.0586991313868036,1.0
20,107.5999984741211,113.4000015258789,100.25,102.0,86.79000091552734,85.3650001525879,84.36333312988282,84.37249984741212,0.0,0.0,0.1380221576007729,-0.0520445962224428,0.0539033748513739,-0.0683085369735283,1.0
21,111.4000015258789,112.3499984741211,101.4499969482422,105.9499969482422,93.93000183105468,87.95500030517579,86.3,85.82999992370605,0.0,0.0,0.0353160139929904,-0.0489228411399137,0.0085278001367126,-0.0893178136566297,1.0
22,105.1500015258789,114.0,104.0999984741211,112.0,99.5000015258789,90.0400001525879,87.8933334350586,86.875,0.0,0.0,-0.0561041284954389,0.0651450154514283,0.084165462155918,-0.0099857635427555,1.0
